index,movie_id,movie_name,netizen_score,expert_score,grade,genre
0,181710,포드 V 페라리,9.56,7.63,12세 관람가,액션
1,136873,겨울왕국 2,8.68,6.75,전체 관람가,애니메이션
2,187349,쥬만지: 넥스트 레벨,6.08,6,12세 관람가,액션
3,189000,나이브스 아웃,9.13,7,12세 관람가,미스터리
4,182387,윤희에게,9.18,6.71,12세 관람가,멜로/로맨스
5,189111,두 교황,8.95,7,12세 관람가,드라마
6,175324,나를 찾아줘,7.09,5.67,15세 관람가,스릴러
7,188060,파비안느에 관한 진실,8.36,6.86,12세 관람가,드라마
8,188056,결혼 이야기,9.11,8.5,15세 관람가,코미디
9,179159,신의 한 수: 귀수편,7.87,5,15세 관람가,범죄
10,161967,기생충,8.47,9.06,15세 관람가,드라마
11,151728,코코,9.26,8,전체 관람가,애니메이션
12,100931,겨울왕국,9.12,7.32,전체 관람가,애니메이션
13,167613,조커,8.65,7.64,15세 관람가,스릴러
14,182205,가장 보통의 연애,7.82,6.33,15세 관람가,멜로/로맨스
15,134963,라라랜드,8.59,8.34,12세 관람가,드라마
16,163788,알라딘,9.38,6,전체 관람가,모험
17,47528,해리 포터와 죽음의 성물 - 2부,9.31,8.36,전체 관람가,모험
18,174903,엑시트,8.29,7.23,12세 관람가,액션
19,95333,더 울프 오브 월 스트리트,8.07,7.36,청소년 관람불가,코미디
20,136900,어벤져스: 엔드게임,9.38,7.62,12세 관람가,액션
21,154598,50가지 그림자: 해방,7.94,2.67,청소년 관람불가,드라마
22,144081,50가지 그림자: 심연,7.39,2.25,청소년 관람불가,드라마
23,187390,아직 사랑하고 있습니까?,7.09,2,청소년 관람불가,코미디
24,163831,엔젤 해즈 폴른,8.46,5,15세 관람가,액션
25,95762,피부색깔=꿀색,8.98,6.8,12세 관람가,애니메이션
26,167699,말모이,9.09,5.86,12세 관람가,드라마
27,167651,극한직업,8.52,6.8,15세 관람가,코미디
28,96379,비긴 어게인,9.03,5.6,15세 관람가,드라마
29,150198,너의 이름은.,8.76,7.55,12세 관람가,애니메이션
30,137915,미 비포 유,8.49,5,12세 관람가,멜로/로맨스
31,57095,해리 포터와 불사조 기사단,6.98,6,전체 관람가,판타지
32,92075,어바웃 타임,9.16,6.8,15세 관람가,멜로/로맨스
33,179482,82년생 김지영,6.69,6.79,12세 관람가,드라마
34,177374,증인,9.08,6,12세 관람가,드라마
35,164907,레드슈즈,9.23,6,전체 관람가,애니메이션
36,188473,허슬러,6.94,6.33,청소년 관람불가,범죄
37,118954,아델라인 : 멈춰진 시간,8.15,5,12세 관람가,드라마
38,159887,애드 아스트라,7.23,7.38,12세 관람가,SF
39,107373,신의 한 수,8.03,5.81,청소년 관람불가,범죄
40,24830,노팅 힐,9.08,8,12세 관람가,멜로/로맨스
41,96951,타짜: 원 아이드 잭,5.35,5.43,청소년 관람불가,범죄
42,101966,토이 스토리 4,9.04,8.09,전체 관람가,애니메이션
43,70457,드래곤 길들이기,9.33,7.71,전체 관람가,애니메이션
44,103657,브루클린,8.11,8.06,12세 관람가,드라마
45,106360,위대한 쇼맨,9.38,6.6,12세 관람가,드라마
46,183803,크롤,6.95,5.75,15세 관람가,액션
47,174830,가버나움,9.59,7.33,15세 관람가,드라마
48,163608,돈,7.41,5.5,15세 관람가,범죄
49,142632,미스 슬로운,9.32,6.83,15세 관람가,드라마
50,39440,이프 온리,9.07,6,15세 관람가,멜로/로맨스
51,101950,그녀,8.51,7.68,15세 관람가,드라마
52,98432,"가장 따뜻한 색, 블루",8.79,8.2,청소년 관람불가,드라마
53,180381,장난스런 키스,8.22,4.75,12세 관람가,멜로/로맨스
54,73372,세 얼간이,9.35,6.71,12세 관람가,코미디
55,164907,레드슈즈,9.23,6,전체 관람가,애니메이션
56,113353,인간중독,6.7,5.57,청소년 관람불가,드라마
57,61101,"색, 계",8.54,7.57,청소년 관람불가,멜로/로맨스
58,97692,쿵푸팬더3,8.63,6.47,전체 관람가,애니메이션
59,154449,리틀 포레스트,8.77,6.36,전체 관람가,드라마
60,157178,"나는 내일, 어제의 너와 만난다",8.84,6,12세 관람가,멜로/로맨스
61,101962,캐롤,8.57,8.96,청소년 관람불가,드라마
62,100644,헝거게임:모킹제이,7.54,6.18,15세 관람가,판타지
63,36843,러브 액츄얼리,8.95,7,15세 관람가,멜로/로맨스
64,118917,인턴,8.99,6.25,12세 관람가,코미디
65,122009,어우동: 주인 없는 꽃,4.77,2,청소년 관람불가,멜로/로맨스
66,179302,카센타,7.26,7,15세 관람가,범죄
67,156464,보헤미안 랩소디,9.42,6.14,12세 관람가,드라마
68,181698,존 윅 3: 파라벨룸,8.04,6.88,청소년 관람불가,액션
69,177967,악인전,7.89,5.71,청소년 관람불가,범죄
70,38444,이터널 선샤인,9.11,8.45,15세 관람가,멜로/로맨스
71,159806,장사리 : 잊혀진 영웅들,8.26,5,12세 관람가,전쟁
72,178526,봉오동 전투,7.91,5.3,15세 관람가,액션
73,147092,히든 피겨스,9.36,6.75,12세 관람가,드라마
74,100643,헝거게임 : 더 파이널,7.62,6.6,15세 관람가,액션
75,130849,모아나,9.16,6.4,전체 관람가,애니메이션
76,187787,너를 만난 여름,8.1,5.5,12세 관람가,드라마
77,124031,널 기다리며,7.57,5.06,청소년 관람불가,스릴러
78,134899,동주,9.37,7.5,12세 관람가,드라마
79,154298,아이리시맨,8.91,9.11,청소년 관람불가,범죄
